id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
5142,14,1998-10-09,The Mighty,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,themighty.jpg,http://www.imdb.com/title/tt0119670/?ref_=nv_sr_4,0,146862,3895131,8990252,8843391,7.3,6.8,0,0,0,0,0,0,0
5113,15,2007-05-16,Once,low_budget_winners,Low budget winners,"Drama, Music, Romance",Drama,once.jpg,http://www.rottentomatoes.com/m/once/,0,173735,10940485,27037812,26864077,7.9,8.3,0,0,0,0,0,0,0
5105,16,2011-07-22,Another Earth,low_budget_winners,Low budget winners,"Drama, Romance, Sci-Fi",Drama,anotherearth.jpg,http://www.rottentomatoes.com/m/another_earth/,0,186566,1408511,2241750,2055184,7,6.2,0,0,0,0,0,0,0
5114,17,2002-07-19,Tadpole,low_budget_winners,Low budget winners,"Comedy, Drama, Romance",Comedy,tadpole.jpg,http://www.imdb.com/title/tt0271219/?ref_=fn_al_tt_1,0,200599,3866604,4373238,4172638,6.2,6.7,0,0,0,0,0,0,0
5101,18,2011-09-23,Weekend,low_budget_winners,Low budget winners,"Drama, Romance",Drama,weekend.jpg,http://www.rottentomatoes.com/m/weekend_2011/,0,201694,514416,1674678,1472985,7.7,8,0,0,0,0,0,0,0
5140,19,1987-03-01,Hollywood Shuffle,low_budget_winners,Low budget winners,Comedy,Comedy,hollywoodshuffle.jpg,http://www.imdb.com/title/tt0093200/?ref_=nv_sr_1,0,214855,11233970,11233970,11019115,7,6.6,0,0,0,0,0,0,0
5077,20,2011-02-25,The Grace Card,low_budget_winners,Low budget winners,Drama,Drama,thegracecard.jpg,http://www.imdb.com/title/tt1544600/?ref_=nv_sr_1,0,217662,2645395,2645395,2427733,6.4,5.5,0,0,0,0,0,0,0
4111,1,1939-12-15,Gone with the Wind,most_profitable,Most Profitable,"Drama, History, Romance",Drama,gonewiththewind.jpg,http://www.rottentomatoes.com/m/gone_with_the_wind/,0,67094764,3418056231,6718511719,6651416955,8.2,8.6,0,0,0,0,0,0,0
4814,2,1942-08-13,Bambi,most_profitable,Most Profitable,"Animation, Drama, Family",Animation,bambi.jpg,http://www.rottentomatoes.com/m/bambi/,0,12524356,1500543384,3912036606,3899512250,7.4,8.3,0,0,0,0,0,0,0
3132,3,1977-05-25,Star Wars Ep. IV: A New Hope,most_profitable,Most Profitable,"Action,ÊAdventure,ÊFantasy",Action,starwarsepivanewhope.jpg,http://www.imdb.com/title/tt0076759/?ref_=nv_sr_3,0,43936700,1841339187,3141865502,3097928802,8.7,8.6,0,0,0,0,0,0,0
